,Price,Close,High,Low,Open,Volume
0,Ticker,TATAMOTORS.NS,TATAMOTORS.NS,TATAMOTORS.NS,TATAMOTORS.NS,TATAMOTORS.NS
1,Date,,,,,
2,2024-02-01,875.79736328125,897.3807830841079,873.604119240152,897.2312202084519,14505885
3,2024-02-02,876.0465698242188,892.9942701792819,874.1523907396991,883.2742655638781,13003437
4,2024-02-05,923.94873046875,947.0773689105692,912.5339436950352,931.1265921710228,38686871
5,2024-02-06,936.6595458984375,938.4041621792303,925.5438843892472,933.5192731014428,12714803
6,2024-02-07,930.9271850585938,941.0958172877474,925.1948747308346,941.0958172877474,7913010
7,2024-02-08,921.4564208984375,936.8090678374625,915.973341398412,934.1173620952459,11576253
8,2024-02-09,912.18505859375,924.5469350928817,903.2625805505963,923.1512177681011,7904881
9,2024-02-12,908.7954711914062,922.1542709144172,905.2065708003145,913.2816271039628,7286778
10,2024-02-13,904.1099853515625,916.2724038964512,891.2496473098162,908.7954773250602,8574218
11,2024-02-14,915.4749145507812,917.119862802497,891.5985825566821,897.2312251423639,6570939
12,2024-02-15,917.7179565429688,924.1481255732302,913.5308654873995,920.8582900464917,6430799
13,2024-02-16,935.7124633789062,945.8810962331506,921.2570712289926,922.1543268048388,12826164
14,2024-02-19,929.7308959960938,940.0490914424062,928.185676633811,940.0490914424062,4632214
15,2024-02-20,923.5001220703125,931.7746363553856,917.5684755238078,931.5752394724828,4733639
16,2024-02-21,918.2164306640625,934.3167704601162,913.6804406459355,923.5001133504758,6011018
17,2024-02-22,929.4318237304688,930.9770430805079,911.7862645316782,921.805394997417,6437014
18,2024-02-23,934.5161743164062,936.9087543643499,926.5407857951564,930.229354308326,7047473
19,2024-02-26,934.0675659179688,942.0927886144665,927.8367935064974,934.217067947412,5600234
20,2024-02-27,959.7383422851562,962.031254348842,932.6220087495768,933.868163224122,12810206
21,2024-02-28,955.1026000976562,972.9973900868661,947.3764425431755,963.1777174049638,15219187
22,2024-02-29,947.2767944335938,956.2989406302397,939.9992644955904,956.0497097361479,10346657
23,2024-03-01,974.3931274414062,977.3838981691608,953.7567972504222,955.9998752962381,10645369
24,2024-03-04,984.1629638671875,991.9389555705244,977.0847699873481,990.1943393170084,6084495
25,2024-03-05,1018.7562255859375,1062.321737133582,1002.2570917425157,1023.8405114792558,59811033
26,2024-03-06,1014.519287109375,1027.479293414112,1005.8958739599614,1021.8466509504067,14214823
